amp,freq
41,4000.0
14,4000.0
44,4000.0
14,4000.0
59,4000.0
43,4000.0
31,4000.0
3,4000.0
133,2666.6666666666665
31,2666.6666666666665
32,5333.333333333333
56,5333.333333333333
69,3200.0
33,3200.0
8,4000.0
42,4000.0
69,3200.0
20,3200.0
11,5333.333333333333
14,5333.333333333333
60,4000.0
24,4000.0
24,3200.0
44,3200.0
1,3200.0
31,3200.0
29,4000.0
7,4000.0
56,4000.0
7,4000.0
36,5333.333333333333
49,5333.333333333333
24,2666.6666666666665
3,2666.6666666666665
41,4000.0
39,4000.0
42,5333.333333333333
36,5333.333333333333
66,5333.333333333333
57,5333.333333333333
58,2000.0
3,2000.0
108,2666.6666666666665
86,2666.6666666666665
108,5333.333333333333
39,5333.333333333333
7,2666.6666666666665
64,2666.6666666666665
4,3200.0
88,3200.0
11,3200.0
18,3200.0
37,4000.0
15,4000.0
40,4000.0
25,4000.0
9,4000.0
18,4000.0
66,2666.6666666666665
1,2666.6666666666665
26,5333.333333333333
11,5333.333333333333
66,5333.333333333333
25,5333.333333333333
104,1600.0
19,1600.0
99,2666.6666666666665
80,2666.6666666666665
108,8000.0
57,8000.0
41,2666.6666666666665
84,2666.6666666666665
22,5333.333333333333
30,5333.333333333333
36,5333.333333333333
77,5333.333333333333
58,4000.0
34,4000.0
144,5333.333333333333
12,5333.333333333333
112,3200.0
23,3200.0
57,4000.0
51,4000.0
56,5333.333333333333
52,5333.333333333333
82,5333.333333333333
3,5333.333333333333
39,2000.0
1,2000.0
29,4000.0
46,4000.0
9,4000.0
2,4000.0
102,4000.0
7,4000.0
66,2666.6666666666665
1,2666.6666666666665
9,4000.0
35,4000.0
13,3200.0
31,3200.0
21,4000.0
16,4000.0
56,8000.0
36,8000.0
86,2666.6666666666665
66,2666.6666666666665
1,2285.714285714286
91,2285.714285714286
64,5333.333333333333
136,5333.333333333333
33,4000.0
72,4000.0
47,5333.333333333333
52,5333.333333333333
39,8000.0
70,8000.0
55,3200.0
97,3200.0
5,4000.0
82,4000.0
77,2666.6666666666665
1,2666.6666666666665
45,2285.714285714286
39,2285.714285714286
49,3200.0
37,3200.0
58,3200.0
6,3200.0
46,2666.6666666666665
45,2666.6666666666665
59,3200.0
100,3200.0
58,1777.7777777777778
38,1777.7777777777778
54,4000.0
32,4000.0
22,3200.0
84,3200.0
28,2666.6666666666665
56,2666.6666666666665
8,4000.0
31,4000.0
20,5333.333333333333
57,5333.333333333333
53,3200.0
129,3200.0
6,2666.6666666666665
52,2666.6666666666665
30,4000.0
28,4000.0
65,4000.0
22,4000.0
89,3200.0
13,3200.0
26,2666.6666666666665
24,2666.6666666666665
117,3200.0
15,3200.0
75,2000.0
7,2000.0
31,3200.0
12,3200.0
12,5333.333333333333
37,5333.333333333333
93,3200.0
24,3200.0
85,4000.0
17,4000.0
62,2285.714285714286
26,2285.714285714286
55,2285.714285714286
33,2285.714285714286
10,4000.0
50,4000.0
2,2285.714285714286
52,2285.714285714286
15,5333.333333333333
33,5333.333333333333
15,3200.0
14,3200.0
66,4000.0
4,4000.0
17,4000.0
54,4000.0
9,2666.6666666666665
44,2666.6666666666665
2,5333.333333333333
66,5333.333333333333
47,3200.0
60,3200.0
55,2666.6666666666665
6,2666.6666666666665
0,4000.0
82,4000.0
8,3200.0
66,3200.0
43,5333.333333333333
75,5333.333333333333
3,3200.0
41,3200.0
23,5333.333333333333
12,5333.333333333333
24,5333.333333333333
7,5333.333333333333
25,8000.0
20,8000.0
138,4000.0
69,4000.0
88,4000.0
35,4000.0
41,4000.0
10,4000.0
27,2666.6666666666665
11,2666.6666666666665
63,4000.0
32,4000.0
29,4000.0
6,4000.0
50,4000.0
0,4000.0
26,8000.0
45,8000.0
44,4000.0
25,4000.0
34,4000.0
8,4000.0
51,4000.0
46,4000.0
36,4000.0
96,4000.0
3,3200.0
