Label,min_0,max_0,mean_0,std_0,skew_0,kurt_0
anonymous-20100204-yqf/a0003.wav,-92.0,-67.0,-76.5,10.404326023342406,-0.455486497872379,-1.417821845548272
anonymous-20100204-yqf/a0004.wav,189.0,274.0,227.0,31.64648479689332,0.35140771062617193,-1.2421689482750413
anonymous-20100204-yqf/a0005.wav,-65.0,-37.0,-55.25,11.053845484717073,0.8672960495959486,-0.930724942929468
anonymous-20100204-yqf/a0006.wav,-11.0,-5.0,-7.25,2.277608394786075,-0.8331504071506617,-0.9020177093917838
mramige-20100820-thj/a0003.wav,-543.0,-390.0,-458.5,60.466933112239126,-0.245338584765581,-1.5491365925925926
mramige-20100820-thj/a0004.wav,3.0,14.0,7.25,4.322904116447646,0.6092615503992163,-1.2002326595899375
mramige-20100820-thj/a0005.wav,-155.0,-97.0,-129.25,22.29770167528483,0.31166453800779825,-1.4088015356651435
mramige-20100820-thj/a0006.wav,-357.0,-242.0,-273.0,48.54379466007988,-1.1480901884687638,-0.6717504557933465
anonymous-20090310-cfk/a0003.wav,0.0,0.0,0.0,0.0,,
anonymous-20090310-cfk/a0004.wav,0.0,0.0,0.0,0.0,,
anonymous-20090310-cfk/a0005.wav,0.0,0.0,0.0,0.0,,
anonymous-20090310-cfk/a0006.wav,0.0,0.0,0.0,0.0,,
camdixon-20141207-irj/a0003.wav,-106.0,-66.0,-83.0,16.76305461424021,-0.24456426483459837,-1.6684945732703487
camdixon-20141207-irj/a0004.wav,30.0,183.0,89.5,59.5,0.6297376093294461,-1.1603498542274053
camdixon-20141207-irj/a0005.wav,26.0,144.0,90.25,42.08547849318099,-0.36709402707648287,-0.9765384381583551
camdixon-20141207-irj/a0006.wav,86.0,172.0,129.5,33.53729267546801,-0.02881015840279034,-1.5841907225833347
observing-20080807-nwy/a0003.wav,635.0,1189.0,1014.0,220.99886877538538,-1.0855879036921563,-0.7147245384169332
observing-20080807-nwy/a0004.wav,228.0,498.0,370.75,96.0608531088497,-0.23756693168211088,-1.0107064061279951
observing-20080807-nwy/a0005.wav,230.0,431.0,341.25,71.90401588228573,-0.4377087705113507,-0.9601960391041082
observing-20080807-nwy/a0006.wav,464.0,813.0,608.0,127.70473757852525,0.6621722133893658,-0.9307415278202629
observing-20080807-gld/a0003.wav,217.0,381.0,301.75,58.0490094661399,-0.14179178500443687,-0.995674606701126
observing-20080807-gld/a0004.wav,153.0,705.0,386.5,213.33600258746765,0.4263831305074606,-1.338563306755531
observing-20080807-gld/a0005.wav,-21.0,63.0,28.0,30.911163032147464,-0.609687633770167,-1.0
observing-20080807-gld/a0006.wav,280.0,702.0,530.5,154.86364970515191,-0.7050707131327636,-0.9076620563741096
samuelbuffet-20090711-mvm/a0003.wav,0.0,0.0,0.0,0.0,,
samuelbuffet-20090711-mvm/a0004.wav,0.0,0.0,0.0,0.0,,
samuelbuffet-20090711-mvm/a0005.wav,-7.0,-1.0,-3.25,2.277608394786075,-0.8331504071506617,-0.9020177093917838
samuelbuffet-20090711-mvm/a0006.wav,0.0,0.0,0.0,0.0,,
anonymous-20081227-ptr/a0003.wav,9.0,4158.0,2548.75,1565.325904564286,-0.7532061537265787,-0.9643058963649409
