amp,freq
402,4000.0
643,4000.0
244,4000.0
190,4000.0
179,4000.0
437,4000.0
8,4000.0
155,271.1864406779661
70,271.1864406779661
73,1333.3333333333333
84,4000.0
560,1230.7692307692307
388,2666.6666666666665
94,2666.6666666666665
27,1454.5454545454545
217,1454.5454545454545
40,1454.5454545454545
100,1000.0
385,1000.0
453,1000.0
256,1000.0
266,1000.0
23,533.3333333333334
8,533.3333333333334
4,5333.333333333333
4,5333.333333333333
3,8000.0
1,8000.0
1,5333.333333333333
1,5333.333333333333
0,5333.333333333333
0,5333.333333333333
0,5333.333333333333
0,5333.333333333333
1,119.40298507462687
5,119.40298507462687
1,5333.333333333333
11,5333.333333333333
161,5333.333333333333
84,5333.333333333333
106,5333.333333333333
19,842.1052631578947
30,5333.333333333333
9,5333.333333333333
106,1142.857142857143
64,2666.6666666666665
0,2666.6666666666665
4,4000.0
65,4000.0
48,2285.714285714286
196,2285.714285714286
174,4000.0
83,3200.0
45,4000.0
91,4000.0
87,4000.0
64,4000.0
54,4000.0
114,4000.0
102,4000.0
125,4000.0
114,4000.0
15,4000.0
151,246.15384615384616
123,2666.6666666666665
40,2000.0
33,2000.0
44,2000.0
120,1000.0
141,3200.0
163,3200.0
21,3200.0
27,3200.0
28,457.14285714285717
36,3200.0
179,3200.0
141,571.4285714285714
90,2000.0
31,800.0
19,800.0
33,800.0
109,800.0
108,800.0
91,800.0
27,800.0
17,363.6363636363636
53,363.6363636363636
78,941.1764705882352
64,3200.0
66,2285.714285714286
71,5333.333333333333
4,5333.333333333333
4,2666.6666666666665
0,2666.6666666666665
7,8000.0
30,8000.0
18,8000.0
10,8000.0
49,800.0
19,4000.0
50,4000.0
89,4000.0
83,4000.0
43,4000.0
7,640.0
21,640.0
29,2666.6666666666665
1,2666.6666666666665
24,2666.6666666666665
4,2666.6666666666665
1,2666.6666666666665
10,2666.6666666666665
49,3200.0
74,2666.6666666666665
79,3200.0
51,1333.3333333333333
44,1333.3333333333333
38,1333.3333333333333
19,1333.3333333333333
34,1333.3333333333333
23,1333.3333333333333
8,500.0
6,500.0
22,500.0
44,500.0
32,500.0
1,1000.0
52,1000.0
66,1000.0
8,1000.0
19,1000.0
32,1000.0
12,1142.857142857143
57,2285.714285714286
71,5333.333333333333
76,8000.0
50,2000.0
68,2666.6666666666665
13,2666.6666666666665
39,2666.6666666666665
5,727.2727272727273
20,727.2727272727273
9,3200.0
25,3200.0
31,3200.0
83,3200.0
68,3200.0
2,615.3846153846154
48,615.3846153846154
47,615.3846153846154
67,1142.857142857143
49,1142.857142857143
99,941.1764705882352
42,1454.5454545454545
70,3200.0
39,3200.0
18,3200.0
4,842.1052631578947
60,842.1052631578947
24,842.1052631578947
23,1000.0
73,1000.0
43,1000.0
94,1000.0
4,484.8484848484849
23,484.8484848484849
18,484.8484848484849
42,1142.857142857143
86,1454.5454545454545
89,5333.333333333333
87,5333.333333333333
47,1777.7777777777778
27,4000.0
8,4000.0
6,2285.714285714286
26,2285.714285714286
36,2285.714285714286
33,2285.714285714286
9,941.1764705882352
17,941.1764705882352
39,941.1764705882352
10,941.1764705882352
34,941.1764705882352
37,941.1764705882352
12,470.5882352941176
8,470.5882352941176
41,470.5882352941176
65,470.5882352941176
16,941.1764705882352
